cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
39,18,79,42,19,84,020902102
36,16,72,35,14,75,020902103
42,21,82,45,24,83,020902104
47,23,82,50,25,83,020902108
64,33,90,59,31,89,020902109
51,23,81,50,24,82,020902110
53,14,79,49,8,69,020904001
52,22,83,43,21,73,020904041
51,28,84,48,22,85,020904101
40,8,66,31,2,51,020905001
52,17,75,48,8,66,020905002
,,,,,,020905004
14,2,53,16,1,38,020905006
33,12,70,33,12,69,020905041
40,17,75,38,19,71,020905042
51,25,80,54,30,82,020905043
39,22,76,36,23,72,020905101
59,30,90,60,35,89,020905102
48,24,82,46,26,84,020905107
41,17,73,38,15,70,020905108
58,33,88,52,31,88,020905109
